Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A.A. Mazhar","Enhancing Cloud Gaming Performance through Game Object-aware Encoding and Macroblock Classification",2023,"Journal of Information Hiding and Multimedia Signal Processing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179313180&origin=inward",8,"2024-06-23 23:02:07","Article","","2073-4212","https://api.elsevier.com/content/abstract/scopus_id/85179313180",14,4,158,171,0,0.00,0,1,1,"","",""
0,"M.A. Mizher","A review of cybersecurity for internet-of-things based on next generation healthcare networks",2023,"AIP Conference Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177692281&origin=inward",9,"2024-06-23 23:02:07","Conference Paper","10.1063/5.0174729","0094-243X","https://api.elsevier.com/content/abstract/scopus_id/85177692281",2979,1,,,0,0.00,0,1,1,"","",""
0,"S. Hamdan","Feature Extraction with Differential Evolution Algorithm",2023,"2023 International Conference on Information Technology: Cybersecurity Challenges for Sustainable Cities, ICIT 2023 - Proceeding","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85171790051&origin=inward",10,"2024-06-23 23:02:07","Conference Paper","10.1109/ICIT58056.2023.10226067","","https://api.elsevier.com/content/abstract/scopus_id/85171790051",,,391,396,0,0.00,0,1,1,"","",""
0,"M. Mizher","Three Dimensional Objects Encryption Algorithms: A Review",2023,"2023 International Conference on Information Technology: Cybersecurity Challenges for Sustainable Cities, ICIT 2023 - Proceeding","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85171787154&origin=inward",11,"2024-06-23 23:02:07","Conference Paper","10.1109/ICIT58056.2023.10226134","","https://api.elsevier.com/content/abstract/scopus_id/85171787154",,,435,440,0,0.00,0,1,1,"","",""
12,"M.A.A.J.A. Mizher","A simple flexible cryptosystem for meshed 3D objects and images",2021,"Journal of King Saud University - Computer and Information Sciences","","https://api.elsevier.com/content/article/eid/1-s2.0-S1319157818312631","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063513557&origin=inward",2,"2024-06-23 23:02:07","Article","10.1016/j.jksuci.2019.03.008","1319-1578","https://api.elsevier.com/content/abstract/scopus_id/85063513557",33,6,629,646,12,4.00,12,1,3,"","",""
3,"M.A. Mizher","A review of Mobile Cloud Computing in Education during the Covid-19 Pandemic in Jordan",2021,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125386090&origin=inward",5,"2024-06-23 23:02:07","Conference Paper","10.1145/3489088.3489101","","https://api.elsevier.com/content/abstract/scopus_id/85125386090",,,187,193,3,1.00,3,1,3,"","",""
2,"M.A. Mizher","Passive Object-based Video Authentication Using Stereo Statistical Descriptor on Wavelet Decomposition",2021,"2021 International Conference on Information Technology, ICIT 2021 - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112133904&origin=inward",7,"2024-06-23 23:02:07","Conference Paper","10.1109/ICIT52682.2021.9491747","","https://api.elsevier.com/content/abstract/scopus_id/85112133904",,,791,798,2,0.67,2,1,3,"","",""
4,"M.A. Mizher","An improved simple flexible cryptosystem for 3D objects with texture maps and 2D images",2019,"Journal of Information Security and Applications","","https://api.elsevier.com/content/article/eid/1-s2.0-S2214212619302170","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067632779&origin=inward",3,"2024-06-23 23:02:07","Article","10.1016/j.jisa.2019.06.005","2214-2134","https://api.elsevier.com/content/abstract/scopus_id/85067632779",47,,390,409,4,0.80,4,1,5,"","",""
3,"M.A. Al-Jabbar Ahmad Mizher","Robotic Movement Encryption Using Guaranteed Cellular Automata",2018,"Proceedings of the 2018 Cyber Resilience Conference, CRC 2018","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062683691&origin=inward",6,"2024-06-23 23:02:07","Conference Paper","10.1109/CR.2018.8626820","","https://api.elsevier.com/content/abstract/scopus_id/85062683691",,,,,3,0.50,3,1,6,"","",""
20,"M.A. Mizher","A review of video falsifying techniques and video forgery detection techniques",2017,"International Journal of Electronic Security and Digital Forensics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025134413&origin=inward",1,"2024-06-23 23:02:07","Review","10.1504/IJESDF.2017.085196","1751-911X","https://api.elsevier.com/content/abstract/scopus_id/85025134413",9,3,191,208,20,2.86,20,1,7,"","",""
4,"M.A. Mizher","Centroid dynamic sink location for clustered wireless mobile sensor networks",2015,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926156364&origin=inward",4,"2024-06-23 23:02:07","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/84926156364",73,3,481,491,4,0.44,4,1,9,"","",""
0,"M.A. Mizher","Bandwidth provisioning scheme for 3D wireless sensor networks",2015,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929121262&origin=inward",12,"2024-06-23 23:02:07","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/84929121262",75,1,25,35,0,0.00,0,1,9,"","",""
