Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"F. Elbarassi","Energy management system for a small town to enhance quality of life",2024,"Open Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190249769&origin=inward",11,"2024-06-23 22:59:40","Article","10.1515/eng-2022-0599","2391-5439","https://api.elsevier.com/content/abstract/scopus_id/85190249769",14,1,,,0,0.00,0,1,1,"","",""
2,"S. Murad","CHR vs. Human-Computer Interaction Design for Emerging Technologies: Two Case Studies",2023,"Advances in Human-Computer Interaction","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149119471&origin=inward",7,"2024-06-23 22:59:40","Article","10.1155/2023/8710638","1687-5893","https://api.elsevier.com/content/abstract/scopus_id/85149119471",2023,,,,2,2.00,2,1,1,"","",""
0,"A. Qusef","AN ENERGY MANAGEMENT SYSTEM USING OPTIMIZED HYBRID ARTIFICIAL NEURAL NETWORK FOR HYBRID ENERGY SYSTEM IN MICROGRID APPLICATIONS",2023,"Operational Research in Engineering Sciences: Theory and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176780141&origin=inward",12,"2024-06-23 22:59:40","Article","10.31181/oresta/060209","2620-1607","https://api.elsevier.com/content/abstract/scopus_id/85176780141",6,2,160,179,0,0.00,0,1,1,"","",""
0,"A. Qusef","Post-Refactoring Recovery of Unit Tests: An Automated Approach",2023,"International Journal of Interactive Mobile Technologies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85158091295&origin=inward",13,"2024-06-23 22:59:40","Article","10.3991/ijim.v17i08.38785","1865-7923","https://api.elsevier.com/content/abstract/scopus_id/85158091295",17,8,39,58,0,0.00,0,1,1,"","",""
0,"S. Murad","Practical framework for software integrity measurement based on static analysis",2020,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090204558&origin=inward",15,"2024-06-23 22:59:40","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85090204558",98,13,2580,2594,0,0.00,0,1,4,"","",""
4,"A. Qusef","Challenges and opportunities in cloud testing",2019,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077120743&origin=inward",4,"2024-06-23 22:59:40","Conference Paper","10.1145/3368691.3368706","","https://api.elsevier.com/content/abstract/scopus_id/85077120743",,,,,4,0.80,4,1,5,"","",""
4,"S. Murad","The correlation between customer satisfaction and service quality in jordanian uber &amp; careem",2019,"International Journal of Innovative Technology and Exploring Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073708496&origin=inward",5,"2024-06-23 22:59:40","Article","10.35940/ijitee.L2777.1081219","2278-3075","https://api.elsevier.com/content/abstract/scopus_id/85073708496",8,12,5186,5192,4,0.80,4,1,5,"","",""
0,"M. Hammoudeh","ICFNDS 2018-message from the program co-chairs",2018,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055425497&origin=inward",16,"2024-06-23 22:59:40","Editorial","","","https://api.elsevier.com/content/abstract/scopus_id/85055425497",,,,,0,0.00,0,1,6,"","",""
70,"A. Abuarqoub","A survey on internet of things enabled smart campus applications",2017,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030458323&origin=inward",1,"2024-06-23 22:59:40","Conference Paper","10.1145/3102304.3109810","","https://api.elsevier.com/content/abstract/scopus_id/85030458323",,,,,70,10.00,70,1,7,"","",""
2,"A. Qusef","Business process integration with quality characteristics: Quality-oriented process",2017,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050385686&origin=inward",8,"2024-06-23 22:59:40","Conference Paper","10.1109/ICEMIS.2017.8273030","","https://api.elsevier.com/content/abstract/scopus_id/85050385686",2018,,1,5,2,0.29,2,1,7,"","",""
0,"S. Murad","AIbot: Do Virtual Worlds Strengthen the Credibility of Artificially Intelligent Bots?",2017,"Springer Proceedings in Business and Economics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125241040&origin=inward",14,"2024-06-23 22:59:40","Conference Paper","10.1007/978-3-319-43434-6_14","2198-7246","https://api.elsevier.com/content/abstract/scopus_id/85125241040",,,159,172,0,0.00,0,1,7,"","",""
0,"H. Samara","Backshoring: Main drives and effects",2017,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030468864&origin=inward",17,"2024-06-23 22:59:40","Conference Paper","10.1145/3102304.3109811","","https://api.elsevier.com/content/abstract/scopus_id/85030468864",,,,,0,0.00,0,1,7,"","",""
11,"S. Cuccurullo","A gestural approach to presentation exploiting motion capture metaphors",2012,"Proceedings of the Workshop on Advanced Visual Interfaces AVI","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863590181&origin=inward",2,"2024-06-23 22:59:40","Conference Paper","10.1145/2254556.2254584","","https://api.elsevier.com/content/abstract/scopus_id/84863590181",,,148,155,11,0.92,11,1,12,"","",""
6,"S. Murad","An empirical evaluation of technical drawing didactic in virtual worlds",2011,"International Journal of Online Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80054031312&origin=inward",3,"2024-06-23 22:59:40","Article","10.3991/ijoe.v7iS1.1733","1868-1646","https://api.elsevier.com/content/abstract/scopus_id/80054031312",7,,23,30,6,0.46,6,1,13,"","",""
4,"S. Murad","VirtualHoP: Virtual Worlds for experimentation and concretization of technical drawing",2011,"2011 IEEE Global Engineering Education Conference, EDUCON 2011","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960249671&origin=inward",6,"2024-06-23 22:59:40","Conference Paper","10.1109/EDUCON.2011.5773250","","https://api.elsevier.com/content/abstract/scopus_id/79960249671",,,888,894,4,0.31,4,1,13,"","",""
