Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"N. Meenakshi","Efficient Communication in Wireless Sensor Networks Using Optimized Energy Efficient Engroove Leach Clustering Protocol",2024,"Tsinghua Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185197049&origin=inward",11,"2024-06-23 22:48:18","Article","10.26599/TST.2023.9010056","1007-0214","https://api.elsevier.com/content/abstract/scopus_id/85185197049",29,4,985,1001,2,2.00,2,1,1,"","",""
0,"M.A. Hossain","AI-enabled approach for enhancing obfuscated malware detection: a hybrid ensemble learning with combined feature selection techniques",2024,"International Journal of System Assurance Engineering and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188903880&origin=inward",18,"2024-06-23 22:48:18","Article","10.1007/s13198-024-02294-y","0975-6809","https://api.elsevier.com/content/abstract/scopus_id/85188903880",,,,,0,0.00,0,1,1,"","",""
0,"S. Turpati","Robust Non-Linear Active Function-Based FxRLS for Impulsive Active Noise Control",2024,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188433888&origin=inward",19,"2024-06-23 22:48:18","Article","10.1109/ACCESS.2024.3378067","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85188433888",12,,43222,43234,0,0.00,0,1,1,"","",""
0,"S. Jha","Enabling Resilient Wireless Networks: OFDMA-Based Algorithm for Enhanced Survivability and Privacy in 6G IoT Environments",2024,"IEEE Transactions on Consumer Electronics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187000362&origin=inward",20,"2024-06-23 22:48:18","Article","10.1109/TCE.2024.3370414","0098-3063","https://api.elsevier.com/content/abstract/scopus_id/85187000362",70,1,3810,3819,0,0.00,0,1,1,"","",""
6,"T. Vaiyapuri","Ensemble Learning Driven Computer-Aided Diagnosis Model for Brain Tumor Classification on Magnetic Resonance Imaging",2023,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168723780&origin=inward",7,"2024-06-23 22:48:18","Article","10.1109/ACCESS.2023.3306961","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85168723780",11,,91398,91406,6,6.00,6,1,1,"","",""
3,"M.F. Farooqui","A Fuzzy Logic based Solution for Network Traffic Problems in Migrating Parallel Crawlers",2023,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149693523&origin=inward",9,"2024-06-23 22:48:18","Article","10.14569/IJACSA.2023.0140252","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85149693523",14,2,432,441,3,3.00,3,1,1,"","",""
3,"K. Kalyani","Effective Return Rate Prediction of Blockchain Financial Products Using Machine Learning",2023,"Computers, Materials and Continua","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85139819339&origin=inward",10,"2024-06-23 22:48:18","Article","10.32604/cmc.2023.033162","1546-2218","https://api.elsevier.com/content/abstract/scopus_id/85139819339",74,1,2303,2316,3,3.00,3,1,1,"","",""
1,"M.A. Haque","Achieving Organizational Effectiveness through Machine Learning Based Approaches for Malware Analysis and Detection",2023,"Data and Metadata","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182684174&origin=inward",12,"2024-06-23 22:48:18","Article","10.56294/dm2023139","2953-4917","https://api.elsevier.com/content/abstract/scopus_id/85182684174",2,,,,1,1.00,1,1,1,"","",""
1,"H.K. Sankaran","AsPeer: Method to Self and Peer Assessment in Large Online Design Classes",2023,"International Journal of Emerging Technologies in Learning","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160337825&origin=inward",13,"2024-06-23 22:48:18","Article","10.3991/ijet.v18i10.38617","1868-8799","https://api.elsevier.com/content/abstract/scopus_id/85160337825",18,10,19,38,1,1.00,1,1,1,"","",""
0,"A. Rajagopal","AI Based Secure Analytics of Clinical Data in Cloud Environment: Towards Smart Cities and Healthcare",2023,"Journal of Advances in Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182485947&origin=inward",21,"2024-06-23 22:48:18","Article","10.12720/jait.14.5.1132-1142","1798-2340","https://api.elsevier.com/content/abstract/scopus_id/85182485947",14,5,1132,1142,0,0.00,0,1,1,"","",""
