Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M. Shkoukani","SECURE AND ISOLATED COMPUTING IN VIRTUALIZATION AND CLOUD ENVIRONMENTS: A SYSTEMATIC REVIEW OF EMERGING TRENDS AND TECHNIQUES",2024,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185473936&origin=inward",12,"2024-06-23 22:58:13","Review","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85185473936",102,3,821,831,0,0.00,0,1,1,"","",""
1,"R. Abuleil","An Enhanced Approach for Realizing Robust Security and Isolation in Virtualized Environments",2023,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179385103&origin=inward",8,"2024-06-23 22:58:13","Article","10.14569/IJACSA.2023.0141129","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85179385103",14,11,293,299,1,1.00,1,1,1,"","",""
1,"Y. Al-Tamimi","Employing cluster-based class decomposition approach to detect phishing websites using machine learning classifiers",2023,"International Journal of Data and Network Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85144582446&origin=inward",9,"2024-06-23 22:58:13","Article","10.5267/j.ijdns.2022.10.002","2561-8148","https://api.elsevier.com/content/abstract/scopus_id/85144582446",7,1,313,328,1,1.00,1,1,1,"","",""
0,"A. Ibrahim","AN ENHANCED DYNAMIC ALGORITHM FOR ASSOCIATION RULES MINING",2023,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163184598&origin=inward",13,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85163184598",101,9,3666,3675,0,0.00,0,1,1,"","",""
2,"H. Qattous","Examination of students’ acceptance and intention to use a New LMS during COVID-19 pandemic",2022,"International Journal of Data and Network Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85136315956&origin=inward",6,"2024-06-23 22:58:13","Article","10.5267/j.ijdns.2022.5.003","2561-8148","https://api.elsevier.com/content/abstract/scopus_id/85136315956",6,4,1485,1500,2,1.00,2,1,2,"","",""
1,"A. Azzazi","A Knowledge-based Expert System for Supporting Security in Software Engineering Projects",2022,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124107470&origin=inward",10,"2024-06-23 22:58:13","Article","10.14569/IJACSA.2022.0130149","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85124107470",13,1,395,400,1,0.50,1,1,2,"","",""
0,"H. Abdulmajeed","MAMMOGRAM IMAGE CLASSIFICATION USING LOCAL BINARY CONVOLUTIONAL NEURAL NETWORK",2022,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124473670&origin=inward",14,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85124473670",100,2,380,390,0,0.00,0,1,2,"","",""
3,"M. Aljanabi","Comparison of multiple machine learning algorithms for urban air quality forecasting",2021,"Periodicals of Engineering and Natural Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121838920&origin=inward",5,"2024-06-23 22:58:13","Article","10.21533/pen.v9i4.2477","2303-4521","https://api.elsevier.com/content/abstract/scopus_id/85121838920",9,4,1013,1028,3,1.00,3,1,3,"","",""
31,"M. Aljanabi","Ground-level Ozone Prediction Using Machine Learning Techniques: A Case Study in Amman, Jordan",2020,"International Journal of Automation and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085572219&origin=inward",1,"2024-06-23 22:58:13","Article","10.1007/s11633-020-1233-4","1476-8186","https://api.elsevier.com/content/abstract/scopus_id/85085572219",17,5,667,677,31,7.75,31,1,4,"","",""
9,"M. Shkoukani","Explore the major characteristics of learning management systems and their impact on e-learning success",2019,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062946991&origin=inward",3,"2024-06-23 22:58:13","Article","10.14569/IJACSA.2019.0100139","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85062946991",10,1,296,301,9,1.80,9,1,5,"","",""
4,"M. Shkoukani","A proposed model of e-commerce using modern social media and its impact on customer loyalty",2017,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018455388&origin=inward",4,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85018455388",95,8,1626,1636,4,0.57,4,1,7,"","",""
2,"A.H. Al-Daher","A proposed dynamic algorithm for association rules mining in big data",2017,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85024362185&origin=inward",7,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/85024362185",95,13,2973,2980,2,0.29,2,1,7,"","",""
10,"H. Abusaimeh","Balancing the Network Clusters for the Lifetime Enhancement in Dense Wireless Sensor Networks",2014,"Arabian Journal for Science and Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899642611&origin=inward",2,"2024-06-23 22:58:13","Article","10.1007/s13369-014-1059-x","2193-567X","https://api.elsevier.com/content/abstract/scopus_id/84899642611",39,5,3771,3779,10,1.00,10,1,10,"","",""
1,"M. Shkoukani","General and special-purpose methodologies for agent oriented software engineering",2013,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876038261&origin=inward",11,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/84876038261",48,1,138,144,1,0.09,1,1,11,"","",""
0,"M. Shkoukani","General and special-purpose methodologies for agent oriented software engineering",2013,"Journal of Theoretical and Applied Information Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876061502&origin=inward",15,"2024-06-23 22:58:13","Article","","1992-8645","https://api.elsevier.com/content/abstract/scopus_id/84876061502",48,1,396,402,0,0.00,0,1,11,"","",""
