Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S.S. Ahmad","Centralized smart energy monitoring system for legacy home appliances",2024,"Energy Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191082898&origin=inward",15,"2024-06-23 23:05:33","Article","10.1186/s42162-024-00334-2","2520-8942","https://api.elsevier.com/content/abstract/scopus_id/85191082898",7,1,,,0,0.00,0,1,1,"","",""
0,"F. Qayyum","Wildfire risk exploration: leveraging SHAP and TabNet for precise factor analysis",2024,"Fire Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183369763&origin=inward",16,"2024-06-23 23:05:33","Article","10.1186/s42408-023-00236-w","1933-9747","https://api.elsevier.com/content/abstract/scopus_id/85183369763",20,1,,,0,0.00,0,1,1,"","",""
0,"F. Qayyum","Shapley-based interpretation of deep learning models for wildfire spread rate prediction",2024,"Fire Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182999643&origin=inward",17,"2024-06-23 23:05:33","Article","10.1186/s42408-023-00242-y","1933-9747","https://api.elsevier.com/content/abstract/scopus_id/85182999643",20,1,,,0,0.00,0,1,1,"","",""
0,"R.R. Bashir","2CAP: A Novel Curve Crash Avoidance Protocol to Handle Curve Crashes in Vehicular Ad-Hoc Network",2024,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181562022&origin=inward",18,"2024-06-23 23:05:33","Article","10.1109/ACCESS.2024.3349474","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85181562022",12,,60601,60619,0,0.00,0,1,1,"","",""
8,"M. Hijjawi","Accelerated Arithmetic Optimization Algorithm by Cuckoo Search for Solving Engineering Design Problems",2023,"Processes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160938621&origin=inward",4,"2024-06-23 23:05:33","Article","10.3390/pr11051380","2227-9717","https://api.elsevier.com/content/abstract/scopus_id/85160938621",11,5,,,8,8.00,8,1,1,"","",""
8,"I. Mashal","The determinants of reliable smart grid from experts’ perspective",2023,"Energy Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152522486&origin=inward",5,"2024-06-23 23:05:33","Article","10.1186/s42162-023-00266-3","2520-8942","https://api.elsevier.com/content/abstract/scopus_id/85152522486",6,1,,,8,8.00,8,1,1,"","",""
3,"M. Hijjawi","Improved flat mobile core network architecture for 5G mobile communication systems",2023,"International Journal of Data and Network Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162811902&origin=inward",8,"2024-06-23 23:05:33","Article","10.5267/j.ijdns.2023.3.021","2561-8148","https://api.elsevier.com/content/abstract/scopus_id/85162811902",7,3,1421,1434,3,3.00,3,1,1,"","",""
2,"M. Alkayed","Factors Analysis Affecting Academic Achievement of Undergraduate Student: A study on Faculty of Information Technology Students at Applied Science Private University",2023,"2nd International Conference on Business Analytics for Technology and Security, ICBATS 2023","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160721003&origin=inward",11,"2024-06-23 23:05:33","Conference Paper","10.1109/ICBATS57792.2023.10111100","","https://api.elsevier.com/content/abstract/scopus_id/85160721003",,,,,2,2.00,2,1,1,"","",""
1,"M. Hijjawi","A Novel Hybrid Prairie Dog Algorithm and Harris Hawks Algorithm for Resource Allocation of Wireless Networks",2023,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181584131&origin=inward",13,"2024-06-23 23:05:33","Article","10.1109/ACCESS.2023.3335247","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85181584131",11,,145146,145166,1,1.00,1,1,1,"","",""
0,"T. Alsboui","A Scalable Decentralized and Lightweight Access Control Framework Using IOTA Tangle for the Internet of Things",2023,"International Conference on Internet of Things, Big Data and Security, IoTBDS - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160778585&origin=inward",19,"2024-06-23 23:05:33","Conference Paper","10.5220/0011963600003482","2184-4976","https://api.elsevier.com/content/abstract/scopus_id/85160778585",2023,,178,185,0,0.00,0,1,1,"","",""
3,"M. Aljanabi","Comparison of multiple machine learning algorithms for urban air quality forecasting",2021,"Periodicals of Engineering and Natural Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121838920&origin=inward",9,"2024-06-23 23:05:33","Article","10.21533/pen.v9i4.2477","2303-4521","https://api.elsevier.com/content/abstract/scopus_id/85121838920",9,4,1013,1028,3,1.00,3,1,3,"","",""
