Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"E. Al-Mahadeen","Smartphone User Identification/Authentication Using Accelerometer and Gyroscope Data",2023,"Sustainability (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85164918871&origin=inward",9,"2024-06-23 22:47:17","Article","10.3390/su151310456","2071-1050","https://api.elsevier.com/content/abstract/scopus_id/85164918871",15,13,,,2,2.00,2,1,1,"","",""
0,"R. Alhalaseh","The Effect of Feature Selection on Diabetes Prediction Using Machine Learning",2023,"Proceedings - IEEE Symposium on Computers and Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85172004918&origin=inward",11,"2024-06-23 22:47:17","Conference Paper","10.1109/ISCC58397.2023.10218243","1530-1346","https://api.elsevier.com/content/abstract/scopus_id/85172004918",2023,,,,0,0.00,0,1,1,"","",""
11,"A.B. Hassanat","Magnetic Force Classifier: A Novel Method for Big Data Classification",2022,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123283345&origin=inward",6,"2024-06-23 22:47:17","Article","10.1109/ACCESS.2022.3142888","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85123283345",10,,12592,12606,11,5.50,11,1,2,"","",""
19,"A.H. Blasi","Machine Learning Approach for an Automatic Irrigation System in Southern Jorsdan Valley",2021,"Engineering, Technology and Applied Science Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104029267&origin=inward",3,"2024-06-23 22:47:17","Article","10.48084/etasr.3944","2241-4487","https://api.elsevier.com/content/abstract/scopus_id/85104029267",11,1,6609,6613,19,6.33,19,1,3,"","",""
17,"M. Al-kasassbeh","LightGBM Algorithm for Malware Detection",2020,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088496853&origin=inward",4,"2024-06-23 22:47:17","Conference Paper","10.1007/978-3-030-52243-8_28","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/85088496853",1230,,391,403,17,4.25,17,1,4,"","",""
12,"A.I. Al-Btoush","New Features for Eye-Tracking Systems: Preliminary Results",2019,"2019 10th International Conference on Information and Communication Systems, ICICS 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072130881&origin=inward",5,"2024-06-23 22:47:17","Conference Paper","10.1109/IACS.2019.8809129","","https://api.elsevier.com/content/abstract/scopus_id/85072130881",,,179,184,12,2.40,12,1,5,"","",""
8,"M. Abbadi","Machine learning-based approach for detecting driver behavior using smartphone sensors",2019,"International Journal of Scientific and Technology Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076755517&origin=inward",7,"2024-06-23 22:47:17","Article","","2277-8616","https://api.elsevier.com/content/abstract/scopus_id/85076755517",8,12,1057,1060,8,1.60,8,1,5,"","",""
7,"A. Alqatawneh","Statistical-hypothesis-aided tests for epilepsy classification",2019,"Computers","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076611868&origin=inward",8,"2024-06-23 22:47:17","Article","10.3390/computers8040084","2073-431X","https://api.elsevier.com/content/abstract/scopus_id/85076611868",8,4,,,7,1.40,7,1,5,"","",""
46,"A.B. Hassanat","An improved Genetic Algorithm with a new initialization mechanism based on Regression techniques",2018,"Information (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049662040&origin=inward",1,"2024-06-23 22:47:17","Article","10.3390/info9070167","2078-2489","https://api.elsevier.com/content/abstract/scopus_id/85049662040",9,7,,,46,7.67,46,1,6,"","",""
20,"A.B.A. Hassanat","Victory sign biometrie for terrorists identification: Preliminary results",2017,"2017 8th International Conference on Information and Communication Systems, ICICS 2017","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020176288&origin=inward",2,"2024-06-23 22:47:17","Conference Paper","10.1109/IACS.2017.7921968","","https://api.elsevier.com/content/abstract/scopus_id/85020176288",,,182,187,20,2.86,20,1,7,"","",""
1,"M. Abbadi","A new message authentication technique using zigzag manipulation and block chaining",2008,"Journal of Applied Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67650079046&origin=inward",10,"2024-06-23 22:47:17","Article","10.3923/jas.2008.3863.3870","1812-5654","https://api.elsevier.com/content/abstract/scopus_id/67650079046",8,21,3863,3870,1,0.06,1,1,16,"","",""
