Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"M. Alakhras","A survey of fuzzy logic in wireless localization",2020,"Eurasip Journal on Wireless Communications and Networking","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084337853&origin=inward",1,"2024-06-23 22:51:02","Review","10.1186/s13638-020-01703-7","1687-1472","https://api.elsevier.com/content/abstract/scopus_id/85084337853",2020,1,,,25,6.25,25,1,4,"","",""
10,"M. Alakhras","Location fixing and fingerprint matching fingerprint map construction for indoor localization",2020,"Journal of Sensors","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078956778&origin=inward",3,"2024-06-23 22:51:02","Article","10.1155/2020/7801752","1687-725X","https://api.elsevier.com/content/abstract/scopus_id/85078956778",2020,,,,10,2.50,10,1,4,"","",""
1,"M. Alakhras","Fuzzy Sets and Game Theory in Green Supply Chain: An Optimization Model",2019,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069190715&origin=inward",6,"2024-06-23 22:51:02","Conference Paper","10.1007/978-3-030-22871-2_12","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/85069190715",997,,149,164,1,0.20,1,1,5,"","",""
0,"M. Alakhras","Resource allocation model based on interval for wireless network with guaranteed QoS",2018,"Lecture Notes in Engineering and Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065728194&origin=inward",9,"2024-06-23 22:51:02","Conference Paper","","2078-0958","https://api.elsevier.com/content/abstract/scopus_id/85065728194",2235,,,,0,0.00,0,1,6,"","",""
3,"M. Alakhras","Six-Higgs-doublet model for dark matter",2017,"Physical Review D","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85037717228&origin=inward",5,"2024-06-23 22:51:02","Article","10.1103/PhysRevD.96.095013","2470-0010","https://api.elsevier.com/content/abstract/scopus_id/85037717228",96,9,,,3,0.43,3,1,7,"","",""
0,"M. Alakhras","ANFIS: General description for modeling dynamic objects",2016,"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115448174&origin=inward",8,"2024-06-23 22:51:02","Conference Paper","10.1109/AICCSA.2015.7507102","2161-5322","https://api.elsevier.com/content/abstract/scopus_id/85115448174",2016,,,,0,0.00,0,1,8,"","",""
25,"M. Oussalah","Multivariable fuzzy inference system for fingerprinting indoor localization",2015,"Fuzzy Sets and Systems","","https://api.elsevier.com/content/article/eid/1-s2.0-S0165011414003571","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925649684&origin=inward",2,"2024-06-23 22:51:02","Article","10.1016/j.fss.2014.08.001","0165-0114","https://api.elsevier.com/content/abstract/scopus_id/84925649684",269,,65,89,25,2.78,25,1,9,"","",""
1,"M. Alakhras","Fuzzy inference with parameter identification for indoor WLAN positioning",2015,"Lecture Notes in Engineering and Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991203883&origin=inward",7,"2024-06-23 22:51:02","Conference Paper","","2078-0958","https://api.elsevier.com/content/abstract/scopus_id/84991203883",2217,,641,648,1,0.11,1,1,9,"","",""
8,"M. Alakhras","Multivariable fuzzy inference with multi nearest neighbour for indoor WLAN localization based on RSS fingerprint",2013,"Proceedings - UKSim 15th International Conference on Computer Modelling and Simulation, UKSim 2013","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880869222&origin=inward",4,"2024-06-23 22:51:02","Conference Paper","10.1109/UKSim.2013.51","","https://api.elsevier.com/content/abstract/scopus_id/84880869222",,,656,662,8,0.73,8,1,11,"","",""
0,"E. Souron","Bluetooth -model analysis and simulation using NS2",2012,"Proceedings of the 11th IEEE International Conference on Cybernetic Intelligent Systems 2012, CIS 2012","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899087213&origin=inward",10,"2024-06-23 22:51:02","Conference Paper","10.1109/CIS.2013.6782153","","https://api.elsevier.com/content/abstract/scopus_id/84899087213",,,178,183,0,0.00,0,1,12,"","",""
